DateTime,analogRead
30-Oct-2021 18:06:46,295
30-Oct-2021 18:06:47,323
30-Oct-2021 18:06:48,0
30-Oct-2021 18:06:49,136
30-Oct-2021 18:06:50,592
30-Oct-2021 18:06:51,1012
30-Oct-2021 18:06:52,714
30-Oct-2021 18:06:53,973
30-Oct-2021 18:06:54,373
30-Oct-2021 18:06:55,85
30-Oct-2021 18:06:57,153
30-Oct-2021 18:06:58,519
30-Oct-2021 18:06:59,555
30-Oct-2021 18:07:00,107
30-Oct-2021 18:07:01,81
30-Oct-2021 18:07:02,555
30-Oct-2021 18:07:03,844
30-Oct-2021 18:07:04,590
30-Oct-2021 18:07:05,687
30-Oct-2021 18:07:06,939
30-Oct-2021 18:07:07,967
30-Oct-2021 18:07:08,762
30-Oct-2021 18:07:09,534
30-Oct-2021 18:07:10,876
30-Oct-2021 18:07:11,804
30-Oct-2021 18:07:12,134
30-Oct-2021 18:07:13,0
30-Oct-2021 18:07:14,0
30-Oct-2021 18:07:15,317
30-Oct-2021 18:07:17,632
